Title,Subtitle,Content
Sec. 9-44.,Hours of operation.,"No sexually oriented business, except for an adult motel, may remain open at any time
               between the hours of 12:00 a.m. (midnight) and 8:00 a.m. on weekdays and Saturdays,
               and 12:00 a.m. (midnight) and 2:00 p.m. on Sundays.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-45.,Location.,"(a)

               Except as permitted in subsection (b), a person commits an offense if he establishes,
               operates or causes to be operated, or expands a sexually oriented business within
               1,000 feet of any of the following uses or locations within the city limits or extraterritorial
               jurisdiction of the city:

               (1)

               A church or synagogue;

               (2)

               A public or private elementary or secondary school or licensed day-care center;

               (3)

               A boundary of a residential district (including, but not limited to, zoning classifications
               SF-1, SF-2, TF, MF, MH-1, and MH-2).

               (4)

               A public park;

               (5)

               A public library;

               (6)

               The property line of a lot devoted to a residential use as defined in this article;
               or

               (7)

               Another sexually oriented business.

               (b)

               A person commits an offense if he establishes, operates or causes to be operated,
               a sexually oriented business in any building, structure or portion thereof containing
               another sexually oriented business.

               (c)

               For the purposes of subsection (a), measurement shall be made in a straight line,
               without regard to intervening structures or objects, from the nearest portion of the
               building or structure used as part of the premises where a sexually oriented business
               is conducted, to the nearest property line of the premises of a use listed in subsections
               (a)(1)—(7).

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-50.,License for nonconforming sexually oriented business.,"(a)

               Notwithstanding anything contained in this article to the contrary, the chief of police
               shall issue a nonconforming sexually oriented business license to a nonconforming
               sexually oriented business under section 9-46 if the chief of police finds:

               (1)

               A proper application for a license has been made in accordance with this article;

               (2)

               The applicant would qualify for a license under the provisions of section 9-49(a)(2)—(11);

               (3)

               The sexually oriented business is a nonconforming use under the provisions of section 9-46;

               (4)

               The building in which the applicant proposes to locate the sexually oriented business
               is not a dangerous or substandard building pursuant to applicable ordinances of the
               city; and

               (5)

               The sexually oriented business complies with all other requirements of this article.

               (b)

               A nonconforming sexually oriented business license issued under this section shall
               be subject to expiration, suspension, revocation, appeal, transfer and all other requirements
               of this article that are applicable to sexually oriented business licenses.

               (c)

               The issuance of a nonconforming sexually oriented business license shall not be deemed
               to make the sexually oriented business a legal use or to grant any other rights or
               waivers other than to allow the nonconforming sexually oriented business to operate
               in compliance with section 9-47(a).

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-46.,Nonconforming uses.,"(a)

               Any sexually oriented business that is in violation of section 9-45 or any other location requirement of any other city ordinances, that was legally
               operating on the effective date of adoption or amendment of such ordinance or regulation,
               shall be deemed a nonconforming use and the provisions of article VI of chapter 42 shall apply, except if two or more sexually oriented businesses are within 1,000
               feet of each other, or are located in the same building or structure, and otherwise
               in a permissible location, the sexually oriented business that was first established
               and continually operating as a sexually oriented business at a particular location
               (regardless of which business was first located in the city), even if operating under
               a different name, ownership, or selling different sexually oriented merchandise or
               services, is the conforming use and the later-established business is nonconforming.

               (b)

               The provisions of this section shall also apply to legally operating sexually oriented
               businesses made nonconforming by annexation into the city limits.

               (c)

               Any sexually oriented business that is lawfully operating within the city as a conforming
               use on or after the effective date of this article, shall not be rendered a nonconforming
               use by the subsequent location of a protected use listed in section 9-45(a) within 1,000 feet of the sexually oriented business.

               (d)

               Nonconforming sexually oriented businesses shall be subject to amortization under
               the procedures set forth in chapter 42.

               (e)

               Notwithstanding anything contained in this article or in article VI of chapter 42 to the contrary, a nonconforming sexually oriented business shall be required to
               meet all applicable requirements of this article except locational requirements established
               by section 9-45(a)—(c) and the prohibition on nudity established by section 9-59 within 60 days of the date that it becomes nonconforming. The zoning board of adjustment
               may grant a nonconforming sexually oriented business an extension if the business
               shows, upon written application, that meeting these requirements within 60 days imposes
               an unnecessary hardship on the business.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-47.,License—Required.,"(a)

               A person commits an offense if he operates or causes to be operated a sexually oriented
               business without a valid sexually oriented business license or nonconforming sexually
               oriented business license, issued by the city for the particular type of business.

               (b)

               The applicant must be qualified according to the provisions of this article.

               (c)

               The fact that a person possesses other types of state or city permits or licenses
               does not exempt the person from the requirement of obtaining a license for a sexually
               oriented business.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-48.,Same—Application.,"(a)

               Any person desiring to obtain a sexually oriented business license shall make application
               on a form provided by the chief of police. The application must:

               (1)

               Be accompanied by a diagram of the premises showing a plan of the premises, specifying
               the location of all overhead lighting fixtures, designating any portion of the premises
               in which customers will not be permitted, and specifying the location of all manager's
               stations, if applicable. The diagram shall designate the place at which the license
               will be conspicuously displayed, if granted. A professionally prepared diagram in
               the nature of an engineer's or architect's blueprint shall not be required; however,
               each diagram should be oriented to the north or to some designated street or object
               and should be drawn to a designated scale or with marked dimensions sufficient to
               show the various internal dimensions of all areas of the interior of the premises
               to an accuracy of plus or minus six inches;

               (2)

               Contain all information required pursuant to section 9-49 and be supported by any necessary documentation;

               (3)

               Include a current list of all employees or prospective employees, along with copies
               of complete updated employment application, valid driver's license, state identification
               card, or passport containing a photograph of the employee;

               (4)

               Contain any other information requested by the chief of police in order to assist
               the chief in deciding whether to grant the license; and

               (5)

               Be sworn to be true and correct by the applicant.

               (b)

               If a person who wishes to operate a sexually oriented business is an individual, he
               must sign the application for a license as applicant. If a person who wishes to operate
               a sexually oriented business is other than an individual, each individual who has
               a 20 percent or greater interest in the business must sign the application for a license
               as applicant. Each applicant must be qualified under section 9-49 and each applicant shall be considered a licensee if a license is granted.

               (c)

               All applications for a license under this article shall be accompanied by a nonrefundable
               application fee of $500.00. An application shall not be considered to have been filed
               until the fee is paid and all information required by the application form has been
               submitted.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-49.,Same—Issuance,"(a)

               The chief of police shall approve the issuance of a license to an applicant within
               30 days after filing of an application unless the chief of police finds one or more
               of the following to be true:

               (1)

               The location of the sexually oriented business is or will be in violation of section 9-45 and no exemption has been granted under section 9-69.

               (2)

               The applicant failed to supply all of the information requested on the application.

               (3)

               The applicant gave false, fraudulent, or untruthful information on the application.

               (4)

               An applicant is under 18 years of age.

               (5)

               An applicant or an applicant's spouse is overdue in payment to the city of taxes,
               fees, fines, or penalties assessed against or imposed upon the applicant or the applicant's
               spouse in relation to a sexually oriented business.

               (6)

               An applicant or an applicant's spouse has been convicted of a violation of a provision
               of this article, other than the offense of operating a sexually oriented business
               without a license, within two years immediately preceding the application. The fact
               that a conviction is being appealed shall have no effect on the denial of a license.

               (7)

               The application or renewal fee required by this article has not been paid.

               (8)

               The applicant has not demonstrated that the owner of the sexually oriented business
               owns or holds a lease for the property or the applicable portion thereof within which
               the sexually oriented business will be situated or has a legally enforceable right
               to acquire the same.

               (9)

               An applicant or the proposed establishment is in violation of or is not in compliance
               with section 9-51 or 9-56.

               (10)

               An applicant or an applicant's spouse has been convicted of a crime:

               a.

               Involving:

               1.

               Any of the following offenses as described in V.T.C.A., Penal Code ch. 43:

               i.

               Prostitution;

               ii.

               Promotion of prostitution;

               iii.

               Aggravated promotion of prostitution;

               iv.

               Compelling prostitution;

               v.

               Obscenity;

               vi.

               Sale, distribution, or display of harmful material to a minor;

               vii.

               Sexual performance by a child;

               viii.

               Possession of child pornography;

               2.

               Any of the following offenses as described in V.T.C.A., Penal Code ch. 21:

               i.

               Public lewdness;

               ii.

               Indecent exposure;

               iii.

               Indecency with a child;

               3.

               Sexual assault or aggravated sexual assault as described in V.T.C.A., Penal Code ch. 22;

               4.

               Incest (prohibited sexual conduct), enticing a child, or harboring a runaway child
               as described in V.T.C.A., Penal Code ch. 25;

               5.

               Possession or distribution of a controlled substance; or

               6.

               Criminal attempt, conspiracy, or solicitation to commit any of the foregoing offenses;
               and

               b.

               For which:

               1.

               Less than two years have elapsed since the date of conviction, or the date of release
               from the terms of probation, parole, or deferred adjudication, or the date of release
               from confinement imposed for the conviction, whichever is the later date, if the conviction
               is of a misdemeanor offense;

               2.

               Less than five years have elapsed since the date of conviction, or the date of release
               from the terms of probation, parole, or deferred adjudication, or the date of release
               from confinement for the conviction, whichever is the later date, if the conviction
               is of a felony offense; or

               3.

               Less than five years have elapsed since the date of the last conviction or the date
               of release from confinement for the last conviction, whichever is the later date,
               if the convictions are of two or more misdemeanor offenses or combination of misdemeanor
               offenses occurring within any two-year period.

               (11)

               For an existing business, the business is in violation of any other applicable requirement
               of this article.

               (b)

               The fact that a conviction of the applicant or applicant's spouse is being appealed
               shall have no effect on the disqualification.

               (c)

               The license, if granted, shall state on its face the name of the person or persons
               to whom it is granted, the expiration date, and the address of the sexually oriented
               business.

               (d)

               The license shall be posted in a conspicuous place at or near the entrance to the
               sexually oriented business so that it may be easily read at any time.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-51.,Inspection and maintenance of records.,"(a)

               An applicant or licensee shall permit representatives of the police department, health
               department, fire department, and building inspections division to inspect the premises
               of a sexually oriented business for the purpose of insuring compliance with the law,
               at any time during the 30-day application period or after it is occupied or open for
               business. The provisions of this section do not apply to areas of an adult motel which
               are currently being rented by a customer for use as a permanent or temporary habitation.

               (b)

               A person who operates a sexually oriented business or his agent or employee commits
               an offense if he refuses to permit a lawful inspection of the premises by a representative
               of the police department, health department, fire department, or building inspections
               division at any time during the 30-day application period or after it is occupied
               or open for business.

               (c)

               A person who operates a sexually oriented business or his agent or employee commits
               an offense if he operates the establishment without maintaining a current list of
               all employees employed by the business, along with a complete updated employment application.
               Each employment application shall include a copy of a valid driver's license, state
               identification card, or passport, all with a photo.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-52.,Expiration of license.,"(a)

               Each license shall expire one year from the date of issuance.

               (b)

               A license may be renewed by submission to the chief of police of an application on
               the form prescribed by the chief of police and payment of a nonrefundable renewal
               processing fee of $500.00.

               (c)

               Application for renewal shall be made at least 30 days before the expiration date
               of the license. If application is made less than 30 days before the expiration date
               and the new license is granted after the expiration of the previous license, the new
               license shall still expire in one year from the previous expiration date.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 14-23.,Offensive odors.,"Any unreasonably noxious, unpleasant, or strong odor which causes material distress,
               discomfort, or injury to persons of ordinary sensibilities in the immediate vicinity
               thereof is declared to be a nuisance and as such is liable to be abated and the person
               guilty of causing such odor shall, upon conviction, be punished, as provided in this
               Code.

               (Code 2008, § 93.52)"
Secs. 14-24—14-49.,Reserved.,NULL
DIVISION 2.,ENFORCEMENT,NULL
Sec. 9-53.,Suspension.,"(a)

               The chief of police shall suspend a license for a period not to exceed 30 days if
               he determines that a licensee or an employee or spouse of a licensee:

               (1)

               Has violated or is not in compliance with section 9-51;

               (2)

               Is in a state of public intoxication while on the sexually oriented business premises;

               (3)

               Knowingly permits gambling by any person on the sexually oriented business premises;
               or

               (4)

               Is delinquent in payment to the city for taxes, fees, fines, or penalties assessed
               against or imposed on the licensee or the licensee's employee or spouse in relation
               to a sexually oriented business.

               (b)

               When the chief of police is authorized to suspend a license under this section, he
               shall give the licensee the opportunity to pay a reinstatement fee of $200.00 rather
               than have the license suspended. In addition to and included as a part of the reinstatement
               fee, a licensee whose license is suspended for a violation of subsection (a)(4) must
               pay all delinquent taxes, fees, fines, or penalties before the license will be reinstated.

               (1)

               Payment of this reinstatement fee shall be considered an administrative admission
               of the violation. However, this shall not be used as an admission of guilt in a criminal
               prosecution under this article.

               (2)

               If the licensee does not pay the reinstatement fee before the expiration of the third
               working day after notification, he loses the opportunity to pay it and the chief of
               police shall impose the suspension.

               (3)

               Each day in which a violation is permitted to continue shall constitute a separate
               cause for suspension.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
ARTICLE VII.,FLAMMABLE LIQUIDS,"Footnotes:  --- (5) ---
            
            State Law reference— 
               Flammable liquids, V.T.C.A., Health and Safety Code ch. 753; municipal authority to
               regulate flammable liquids, V.T.C.A., Health and Safety Code § 753.006."
Sec. 16-189.,Definitions.,"The following words, terms and phrases, when used in this article shall have the meanings
               ascribed to them in this section, except where the context clearly indicates a different
               meaning:

               Flammable liquid shall have the meaning ascribed to it in section 202 of the Uniform Fire Code.

               (Code 2008, § 92.100)"
Sec. 18-6.,Basis for establishing areas of special flood hazard.,"The areas of special flood hazard identified by the federal emergency management agency
               in the flood insurance rate map (FIRM) or flood hazard boundary map (FHBM), Community
               Number, 480397, dated December 4, 2012, and any revisions thereto are hereby adopted
               by reference and declared to be a part of this chapter.

               (Code 2008, § 151.11; Ord. No. 2012-025, 9-17-2012)"
Sec. 9-54.,Revocation.,"(a)

               The chief of police shall revoke a license if a cause of suspension in section 9-42 occurs and the license has been suspended or a reinstatement fee paid within the
               preceding 12 months.

               (b)

               The chief of police shall revoke a license if he determines that:

               (1)

               One or more statements contained in section 9-49(a) is true;

               (2)

               The licensee violated or is not in compliance with section 9-45 or 9-46;

               (3)

               The licensee or an employee of the licensee knowingly allowed possession, use, or
               sale of a controlled substance on the sexually oriented business premises;

               (4)

               The licensee or an employee of the licensee knowingly allowed prostitution on the
               sexually oriented business premises;

               (5)

               The licensee or an employee of the licensee knowingly operated the sexually oriented
               business during a period of time when the licensee's license was suspended;

               (6)

               On two or more occasions within a 12-month period, an employee of the licensee committed
               in or on the sexually oriented business premises an offense listed in section 9-49(a)(10) for which a conviction or a deferred adjudication or other form of probation
               has been obtained; or

               (7)

               The licensee or an employee of the licensee knowingly allowed any act of sexual intercourse,
               sodomy, oral copulation, masturbation, or sexual contact to occur in or on the sexually
               oriented business premises. The term ""sexual contact"" shall have the same meaning
               as it is defined in V.T.C.A., Penal Code § 21.01.

               (c)

               The fact that a conviction is being appealed shall have no effect on the revocation
               of the license.

               (d)

                Section 9-54(b)(7) does not apply to adult motels as a ground for revoking the license unless
               the licensee or employee knowingly allowed the act of sexual intercourse, sodomy,
               oral copulation, masturbation, or sexual contact to occur in a public place or within
               public view.

               (e)

               When the chief of police revokes a license, the revocation shall continue for one
               year and the licensee shall not be issued a sexually oriented business license for
               one year from the date revocation became effective. If, subsequent to revocation,
               the chief of police finds that the basis for the revocation has been corrected or
               abated, the applicant may be granted a license if at least 90 days have elapsed since
               the date the revocation became effective. If the license was revoked under subsection
               (b)(1) for an offense listed in section 9-49(a)(10) for which the time period required has not elapsed, an applicant may not be
               granted another license until the appropriate number of years required under section 9-49(a)(10) has elapsed.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-55.,Appeal.,"(a)

               If the chief of police is authorized to deny the issuance of a license, or suspend
               or revoke a license as provided in this article, the chief of police shall give written
               notice to the applicant or licensee of such intention and the basis for the denial,
               suspension, or revocation.

               (1)

               The notice of intent shall provide that the denial of issuance, or the suspension
               or revocation shall be effective at the expiration of the third working day after
               the chief of police gave the notification, unless the applicant or licensee provides
               a written response to the chief of police before the expiration of the third working
               day.

               (2)

               If the chief of police receives a timely written response from the applicant or licensee,
               the denial of issuance, or the suspension or revocation will be stayed pending a final
               decision by the chief of police.

               (b)

               The chief of police may request from the applicant or licensee any additional information
               necessary to finally decide whether to deny, suspend, or revoke a license.

               (c)

               After reviewing the written response from and any additional information submitted
               by the applicant or licensee, the chief of police shall render a final written decision.
               The chief of police shall deliver this final decision to the applicant or licensee
               by hand delivery or by certified mail, return receipt requested, to the address provided
               on the application.

               (d)

               The final decision by the chief of police shall be final and effective immediately.

               (e)

               Upon receipt of written notice of denial, suspension, or revocation, the applicant
               or licensee shall have the right to appeal to district court. If the chief of police
               denies, suspends, or revokes the license because the location of the sexually oriented
               business is or would be in violation of the locational requirements of section 9-45, the applicant may request an exemption from the location appeal board pursuant to section 9-69.

               (f)

               The appeal to district court must be filed within 30 days after:

               (1)

               The applicant or licensee receives notice of the chief of police's decision; or

               (2)

               The location appeal board denies the exemption.

               (g)

               The licensee or applicant shall bear the burden of proof in court.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-56.,Transfer.,"(a)

               A person commits an offense if he transfers his license to another person or operates
               a sexually oriented business under the authority of a license at any place other than
               the address designated in the application.

               (b)

               A person commits an offense if he counterfeits, forges, changes, defaces, or alters
               a license.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-57.,Additional regulations—Adult cabarets.,"(a)

               An employee of an adult cabaret while appearing in a state of nudity or simulated
               nudity commits an offense if he touches a customer or the clothing of a customer.

               (b)

               A customer at an adult cabaret commits an offense if he touches an employee appearing
               in a state of nudity or simulated nudity.

               (c)

               Each adult cabaret shall have a manager's station, which shall not exceed 32 square
               feet of floor area. A licensee or employee of an adult cabaret commits an offense
               if he permits any customer access to an area of the premises not visible from the
               manager's station or not visible by a walk-through of the premises without entering
               a closed area, excluding restrooms. The view required in this subsection shall be
               by direct line of sight. The view shall be deemed insufficient if clear visibility
               of such line of sight must be attained by using flashlights or spotlights in addition
               to overhead house lighting.

               (d)

               No employee of an adult cabaret may appear in an area of the business visible to patrons
               or customers unless the employee completely and opaquely covers his or her genitals,
               public region, and public hair; anus; and, if female, her areolae. In addition, the
               employee is subject to the requirements of section 9-58.

               (e)

               No licensee, owner, operator, or manager of an adult cabaret shall permit an employee
               to violate subsection (d).

               (f)

               A licensee, operator or employee commits an offense if the licensee, operator or employee
               appears in a state of nudity or knowingly allows another to appear in a state of nudity
               in an area of the adult cabaret which can be viewed from the public right-of-way.

               (g)

               A licensee shall designate and appoint one or more managers to manage, direct, and
               control the premises and operations of an adult cabaret. At least one manager shall
               be on the premises at any time the adult cabaret is open for business.

               (h)

               A licensee or manager commits an offense if the adult cabaret fails to display the
               floor markings as required in section 9-58(d).

               (i)

               An operator or a manager appointed under this section shall at all times have the
               duty to ensure that each employee in the adult cabaret has been instructed to commit
               no act which would constitute a violation of this article or which would provide grounds,
               or part of the grounds, for suspension or revocation of a license issued under this
               article.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 18-10.,Interpretation.,"In the interpretation and application of this chapter, all provisions shall be:

                  (1)

                  Considered as minimum requirements;

                  (2)

                  Liberally construed in favor of the governing body; and

                  (3)

                  Deemed neither to limit nor repeal any other powers granted under state statutes.

               (Code 2008, § 151.15; Ord. No. 2012-025, 9-17-2012)"
Sec. 9-58.,Additional regulations—Public nudity.,"(a)

               A licensee, operator, or employee commits an offense if the licensee, operator, or
               employee appears in a state of nudity or knowingly allows another person to appear
               in a state of nudity in a sexually oriented business, unless the person is an employee
               who, while in a state of nudity, is on a stage (on which no patron or customer is
               present) that is at least 18 inches above the floor, and that is at least six feet
               from any patron or customer.

               (b)

               It is an offense for an employee, while in a state of nudity in a sexually oriented
               business, to receive directly any pay or gratuity from any patron or customer, or
               for any patron or customer to pay or give any gratuity directly to any employee, while
               that employee is in a state of nudity in a sexually oriented business. Such gratuity
               or pay may be provided to such an employee through a tip receptacle, located more
               than six feet from the nearest point of the performance stage where the employee is
               in a state of nudity, or may be paid to an employee that is not in a state of nudity,
               as part of the customer's bill.

               (c)

               A licensee or operator commits an offense if the licensee or operator fails to display
               a sign on the interior of the sexually oriented business premises notifying patrons
               and customers and employees of the prohibitions described in this section. The sign
               must be prominently and continuously displayed where patrons or customers enter the
               premises, and immediately adjacent to each performance stage, and must state in letters
               at least two inches high:

               TOUCHING OR TIPPING AN EMPLOYEE WHO IS IN A STATE OF NUDITY IS A CRIME (MISDEMEANOR)
               PUNISHABLE BY A FINE OF UP TO $2,000.00. PATRONS SHALL REMAIN AT LEAST SIX FEET FROM
               ALL PERFORMANCE STAGES.

               The chief of police may also require, at the time of issuance or renewal of the license,
               the licensee to display the sign in a language other than English if he determines
               that a substantial portion of the expected patrons or customers speak the other language
               as their familiar language. Upon notification, a licensee commits an offense if the
               sign does not contain this language in the required language, in addition to English.

               (d)

               A licensee or operator commits an offense if the licensee or operator fails to prominently
               and continuously display a glow-in-the-dark line on the floor of the sexually oriented
               business, at least two inches wide, marking a distance of six feet from each performance
               stage on which an employee in a state of nudity may appear in accordance with subsection
               (a).

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-59.,Prohibition of nudity in certain commercial establishments.,"(a)

               Purpose. The purpose of this section is to prohibit certain acts of commercial exploitation
               of human sexuality in commercial establishments where alcoholic beverages are served
               or offered for sale for consumption on the premises, or permitted to be consumed on
               the premises, and to reduce the likelihood of criminal activity, moral degradation
               and disturbances of the peace and good order of the community, to prohibit lewd and
               unlawful activity, such as prostitution and the proliferation of controlled substances,
               all of which may occur when such commercial exploitation is permitted in such places,
               and to promote the preservation of property values of neighborhoods and adjacent properties.

               (b)

               Prohibition.

               (1)

               No person shall appear in a state of nudity or simulated nudity in any commercial
               establishment at which alcoholic beverages are served or offered for sale for consumption
               on the premises, or permitted to be consumed on the premises.

               (2)

               No licensee, owner, operator, or manager of any commercial establishment at which
               alcoholic beverages are served or offered for sale for consumption on the premises,
               or are permitted to be consumed on the premises, shall permit any person to appear
               in a state of nudity.

               (c)

               Nonconforming uses. Any business that was legally operating on the effective date of adoption or amendment
               of this article shall be deemed a nonconforming use as to the prohibition established
               in this section and shall be subject to the provisions of article VI of chapter 42.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-60.,Same—Escort agencies.,"(a)

               A person commits an offense if he employs at an escort agency any person under the
               age of 18 years.

               (b)

               A person commits an offense if he acts as an escort or agrees to act as an escort
               for any person under the age of 18 years.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 20-22.,Appointment of police officers; oath of office.,"(a)

               All police officers shall be appointed and/or terminated by the city manager.

               (b)

               All police officers appointed to the police department shall take and subscribe to
               the official oath prescribed by the Constitution of the state.

               (Code 2008, § 32.02; Ord. No. 2000-028, 6-12-2000; Ord. No. 2007-25, 8-20-2007)"
Sec. 9-61.,Same—Nude model businesses.,"(a)

               A person commits an offense if he employs at a nude model business any person under
               the age of 18 years.

               (b)

               A person under the age of 18 years commits an offense if he appears in a state of
               nudity or simulated nudity in or on the premises of a nude model business. It is a
               defense to prosecution under this subsection if the person was in a restroom not open
               to public view or persons of the opposite sex.

               (c)

               A person commits an offense if he appears in a state of nudity or simulated nudity,
               or knowingly allows another to appear in a state of nudity or simulated nudity, in
               an area of a nude model business premises which can be viewed from the public right-of-way.

               (d)

               A person commits an offense if he places or permits a bed, sofa, or mattress in any
               room on the premises of a nude model business except that a sofa may be placed in
               a reception room open to the public.

               (e)

               A licensee or employee of a nude model business commits an offense if he permits any
               customer access to an area of the premises not visible from the manager's station
               or not visible by a walk through of the premises without entering a closed area, excluding
               restrooms.

               (f)

               An employee of a nude model business, while appearing in a state of nudity or simulated
               nudity, commits an offense if he touches a customer or the clothing of a customer.

               (g)

               A customer at a nude model business commits an offense if he touches an employee appearing
               in a state of nudity or simulated nudity.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-62.,Same—Adult theaters and adult motion picture theaters.,"(a)

               A person commits an offense if he knowingly allows a person under the age of 18 years
               to appear in a state of nudity or simulated nudity in or on the premises of an adult
               theater or adult motion picture theater.

               (b)

               A person under the age of 18 years commits an offense if he knowingly appears in a
               state of nudity or simulated nudity in or on the premises of an adult theater or adult
               motion picture theater.

               (c)

               It is a defense to prosecution under subsections (a) and (b) if the person under 18
               years was in a restroom not open to public view or persons of the opposite sex.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Secs. 14-178—14-207.,Reserved.,NULL
DIVISION 2.,JUNKED VEHICLES,"Footnotes:  --- (9) ---
            
            State Law reference— 
               Junked vehicles as public nuisances, V.T.C.A., Transportation Code § 683.071 et seq."
Sec. 9-63.,Same—Adult motels.,"(a)

               Evidence that a sleeping room in a hotel, motel, or similar commercial establishment
               has been rented and vacated two or more times in a period of time that is less than
               ten hours creates a rebuttable presumption that the establishment is an adult motel
               as that term is defined in this article.

               (b)

               A person commits an offense if, as the person in control of a sleeping room in a hotel,
               motel, or similar commercial establishment that does not have a sexually oriented
               business license, he rents or subrents a sleeping room to a person and, within ten
               hours from the time the room is rented, he rents or subrents the same sleeping room
               again.

               (c)

               For purposes of subsection (b), above, the terms ""rent"" and ""subrent"" mean the act
               of permitting a room to be occupied for any form of consideration.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
Sec. 9-64.,Regulations pertaining to exhibition of sexually explicit films or videos.,"A sexually oriented business other than an adult motel, which exhibits on the premises
               in a viewing room of less than 150 square feet of floor space, a film, video cassette,
               or other video reproduction which depicts specified sexual activities or specified
               anatomical areas, shall comply with the following requirements:

                  (1)

                  Upon application for a sexually oriented business license, the application shall be
                  accompanied by a diagram of the premises as required by section 9-48(a)(1). The diagram shall show the location of the manager's stations. A manager's
                  station shall not exceed 32 square feet of floor area.

                  (2)

                  No alteration in the configuration or location of a manager's station may be made
                  without the prior approval of the chief of police or his designee.

                  (3)

                  The licensee commits an offense if he permits a manager's station to be unattended
                  by a designated manager at any time a customer is present on the premises.

                  (4)

                  The interior of the premises shall be configured in such a manner that there is an
                  unobstructed view from a manager's station of every area of the premises to which
                  any customer is permitted access for any purpose, excluding restrooms. Restrooms may
                  not contain video reproduction equipment. If the premises has two or more manager's
                  stations designated, then the interior of the premises shall be configured in such
                  a manner that there is an unobstructed view of each area of the premises to which
                  any customer is permitted access for any purpose, excluding restrooms, from at least
                  one of the manager's stations. The view required in this subsection must be by direct
                  line of sight from the manager's station. The view shall be deemed insufficient if
                  clear visibility of such line of sight must be attained by using flashlights or spotlights
                  in addition to overhead house lighting.

                  (5)

                  The licensee or manager commits an offense if he permits access to a customer of any
                  area of the premises that is not visible from the manager's station for any purpose,
                  excluding restrooms.

                  (6)

                  The owners, operator, and any agents and employees present on the premises shall ensure
                  that the view area specified in subsection (5), remains unobstructed by any doors,
                  walls, merchandise, display racks, or other materials at all times that any customer
                  is present in the premises and to ensure that no customer is permitted access to any
                  area of the premises which has been designated as an area in which customers will
                  not be permitted in the application filed pursuant to subsection (1).

                  (7)

                  No viewing rooms or booths of less than 150 square feet of floor space shall be occupied
                  by more than one person at any time.

                  (8)

                  No licensee or manager shall allow openings or holes of any kind to exist between
                  adjacent or adjoining viewing rooms or booths.

                  (9)

                  No person shall make or attempt to make an opening or hole of any kind between adjacent
                  or adjoining viewing rooms and booths.

                  (10)

                  The licensee and any manager shall have a duty, during each business day, regularly
                  to inspect the walls of all viewing rooms or booths to determine if any openings or
                  holes exist.

                  (11)

                  The licensee or any manager commits an offense if he permits any patron or customer
                  access to a viewing room or booth where any opening or hole exists into an adjacent
                  or adjoining viewing room or booth.

                  (12)

                  This section shall not prohibit conduits for plumbing, heating, air conditioning,
                  ventilation or electrical service, if the conduits are screened or otherwise configured
                  so as to prevent their use as openings that would permit any portion of a human body
                  to penetrate the wall or barrier separating viewing rooms or booths.

               (Ord. No. 2011-041, § 1, 10-17-2011)"
